City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Alta Floresta,BR,2022-03-01 02:14:17,-9.8756,-56.0861,72.54,94,82,1.63
134,Ombessa,CM,2022-03-01 02:15:18,4.603,11.2565,69.89,97,61,4.45
135,Katsuura,JP,2022-03-01 02:15:18,35.1333,140.3,53.64,50,47,23.62
136,Sadiqabad,PK,2022-03-01 02:15:18,28.3062,70.1307,60.73,56,10,8.52
137,Hithadhoo,MV,2022-03-01 02:15:19,-0.6,73.0833,83.48,70,54,11.05
138,Lagoa,PT,2022-03-01 02:15:19,39.05,-27.9833,59.61,82,100,14.61
139,Tuatapere,NZ,2022-03-01 02:15:19,-46.1333,167.6833,57.4,85,100,6.85
140,Abu Samrah,SY,2022-03-01 02:13:29,35.3029,37.1841,50.68,78,100,5.37
141,Atar,MR,2022-03-01 02:15:20,20.5169,-13.0499,64.2,42,0,7.47
142,Do Gonbadan,IR,2022-03-01 02:15:20,30.3586,50.7981,53.24,57,0,4.0
143,Dunedin,NZ,2022-03-01 02:14:48,-45.8742,170.5036,62.8,76,93,8.99
144,Biltine,TD,2022-03-01 02:15:21,14.5333,20.9167,71.1,9,5,12.66
145,Norman Wells,CA,2022-03-01 02:15:21,65.282,-126.8329,-2.16,60,0,6.91
146,Verkhnevilyuysk,RU,2022-03-01 02:15:22,63.4453,120.3167,-5.42,99,100,1.95
147,Bethel,US,2022-03-01 02:15:22,41.3712,-73.414,23.25,58,49,1.68
148,Lata,PT,2022-03-01 02:15:22,40.1629,-8.3327,48.92,81,98,2.42
149,Ancud,CL,2022-03-01 02:15:23,-41.8697,-73.8203,55.98,88,100,14.5
150,Butembo,CD,2022-03-01 02:15:23,0.15,29.2833,58.3,89,95,2.95
151,Arteaga,MX,2022-03-01 02:15:23,18.4667,-102.4167,60.69,81,0,4.85
152,Mikhaylovka,RU,2022-03-01 02:15:24,50.06,43.2379,29.43,96,100,6.06
153,Cap Malheureux,MU,2022-03-01 02:15:24,-19.9842,57.6142,80.37,80,99,8.88
154,Pisco,PE,2022-03-01 02:15:25,-13.7,-76.2167,70.32,85,100,3.36
155,Labis,MY,2022-03-01 02:15:25,2.385,103.021,80.96,77,68,5.64
156,Cintalapa,MX,2022-03-01 02:15:25,16.6951,-93.7272,64.08,85,83,12.44
157,Thompson,CA,2022-03-01 02:15:26,55.7435,-97.8558,-10.35,100,85,3.69
158,Camana,PE,2022-03-01 02:15:26,-16.6228,-72.7111,71.92,86,96,5.46
159,Talnakh,RU,2022-03-01 02:06:38,69.4865,88.3972,9.21,95,100,10.8
160,Andenes,NO,2022-03-01 02:15:27,69.3143,16.1194,38.88,83,100,29.17
161,Yenagoa,NG,2022-03-01 02:15:27,4.9247,6.2642,78.48,91,71,3.4
162,San Policarpo,PH,2022-03-01 02:15:27,12.1791,125.5072,81.32,82,100,15.84
163,Constitucion,CL,2022-03-01 02:07:47,-35.3333,-72.4167,61.2,61,0,12.08
164,Mildura,AU,2022-03-01 02:15:28,-34.2,142.15,78.76,61,40,8.05
165,Wanning,CN,2022-03-01 02:15:28,18.8003,110.3967,74.23,77,13,3.69
166,Quelimane,MZ,2022-03-01 02:15:29,-17.8786,36.8883,70.7,88,100,3.53
167,Marawi,PH,2022-03-01 02:15:29,7.9986,124.2928,79.3,59,100,4.54
168,Cidreira,BR,2022-03-01 02:15:30,-30.1811,-50.2056,73.8,94,100,2.28
169,Pacific Grove,US,2022-03-01 02:11:53,36.6177,-121.9166,68.2,57,0,4.61
170,Fethiye,TR,2022-03-01 02:15:30,36.6217,29.1164,51.75,78,100,5.3
171,Portland,US,2022-03-01 02:14:09,45.5234,-122.6762,56.91,85,100,13.35
172,Srandakan,ID,2022-03-01 02:15:31,-7.9386,110.2506,82.76,71,95,7.81
173,Oktyabrskoye,RU,2022-03-01 02:15:31,43.0645,44.7417,36.18,90,100,2.1
174,Miri,MY,2022-03-01 02:12:54,4.4148,114.0089,82.33,75,25,0.87
175,Tessalit,ML,2022-03-01 02:15:31,20.1986,1.0114,74.55,9,48,10.87
176,Vikhorevka,RU,2022-03-01 02:15:32,56.1201,101.1636,18.99,88,100,11.25
177,Koboko,UG,2022-03-01 02:15:32,3.4136,30.9599,67.77,70,100,3.98
178,Olafsvik,IS,2022-03-01 02:15:32,64.8945,-23.7142,29.82,91,100,4.03
179,Souillac,MU,2022-03-01 02:15:33,-20.5167,57.5167,77.7,89,97,6.69
180,Rio Grande,BR,2022-03-01 02:07:45,-32.035,-52.0986,70.03,93,82,8.77
181,Bahia Blanca,AR,2022-03-01 02:15:33,-38.7196,-62.2724,62.6,30,0,7.74
182,Fortuna,US,2022-03-01 02:16:34,40.5982,-124.1573,56.39,80,100,5.3
183,Hasaki,JP,2022-03-01 02:16:34,35.7333,140.8333,54.34,50,100,12.37
184,Mehamn,NO,2022-03-01 02:16:35,71.0357,27.8492,28.11,88,100,9.42
185,Morondava,MG,2022-03-01 02:16:35,-20.2833,44.2833,78.46,87,100,14.54
186,Naze,JP,2022-03-01 02:16:35,28.3667,129.4833,66.7,82,99,17.43
187,Port Moresby,PG,2022-03-01 02:16:36,-9.4431,147.1797,81.82,78,40,11.5
188,Goderich,CA,2022-03-01 02:15:05,43.7501,-81.7165,25.92,63,100,11.5
189,Verkh-Usugli,RU,2022-03-01 02:16:36,52.7,115.1667,19.31,70,92,4.79
190,Jiayuguan,CN,2022-03-01 02:16:36,39.8167,98.3,28.17,29,95,0.65
191,Hambantota,LK,2022-03-01 02:16:37,6.1241,81.1185,77.59,72,96,9.4
192,Mackay,AU,2022-03-01 02:15:05,-21.15,149.2,87.66,63,4,10.09
193,Qaqortoq,GL,2022-03-01 02:16:37,60.7167,-46.0333,4.05,89,18,6.69
194,Mumford,GH,2022-03-01 02:16:37,5.2618,-0.759,78.53,92,32,9.64
195,Lenoir City,US,2022-03-01 02:14:24,35.7973,-84.256,40.69,68,10,1.43
196,Mamlyutka,KZ,2022-03-01 02:16:38,54.9375,68.5394,23.13,95,100,14.63
197,Saldanha,ZA,2022-03-01 02:16:38,-33.0117,17.9442,62.58,92,0,8.75
198,Khani,GE,2022-03-01 02:16:39,41.9563,42.9566,45.97,71,100,6.96
199,Jalu,LY,2022-03-01 02:16:39,29.0331,21.5482,62.69,28,28,9.19
200,Dikson,RU,2022-03-01 02:16:39,73.5069,80.5464,-8.86,100,97,4.63
201,Bengkulu,ID,2022-03-01 02:16:40,-3.8004,102.2655,80.42,74,100,1.99
202,Jumla,NP,2022-03-01 02:16:40,29.2747,82.1838,43.11,45,99,3.69
203,Husavik,IS,2022-03-01 02:16:41,66.0449,-17.3389,33.71,99,100,14.97
204,East London,ZA,2022-03-01 02:12:35,-33.0153,27.9116,73.22,85,95,10.27
205,Salinopolis,BR,2022-03-01 02:16:41,-0.6136,-47.3561,79.29,86,99,9.31
206,Erzurum,TR,2022-03-01 02:16:41,40.0,41.5,37.08,96,100,3.38
207,Alofi,NU,2022-03-01 02:16:42,-19.0595,-169.9187,84.09,79,100,5.75
208,Sorland,NO,2022-03-01 02:16:42,67.667,12.6934,41.34,89,100,33.96
209,Zhigalovo,RU,2022-03-01 02:16:42,54.8097,105.1578,18.95,88,100,10.49
210,Itarema,BR,2022-03-01 02:16:43,-2.9248,-39.9167,79.25,80,61,11.79
211,New Norfolk,AU,2022-03-01 02:16:43,-42.7826,147.0587,67.8,87,100,6.22
212,Bubaque,GW,2022-03-01 02:16:43,11.2833,-15.8333,75.76,60,3,22.32
213,Carnarvon,AU,2022-03-01 02:07:51,-24.8667,113.6333,79.75,59,14,19.01
214,Warmbad,NA,2022-03-01 02:16:44,-28.45,18.7333,70.29,43,0,8.19
215,Nanakuli,US,2022-03-01 02:16:44,21.3906,-158.1547,75.96,63,86,1.07
216,Elliot,ZA,2022-03-01 02:16:45,-31.3333,27.85,58.69,75,100,5.97
217,Inhambane,MZ,2022-03-01 02:13:34,-23.865,35.3833,73.42,76,13,6.69
218,Marsabit,KE,2022-03-01 02:16:45,2.3284,37.9899,66.79,59,41,17.11
219,Pevek,RU,2022-03-01 02:16:46,69.7008,170.3133,6.51,95,100,4.32
220,Deputatskiy,RU,2022-03-01 02:12:15,69.3,139.9,-11.04,92,100,0.83
221,Kongolo,CD,2022-03-01 02:16:46,-5.3833,27.0,68.52,99,100,2.91
222,Umuarama,BR,2022-03-01 02:16:46,-23.7664,-53.325,75.51,80,49,3.2
223,Vostok,RU,2022-03-01 02:13:42,46.4856,135.8833,18.41,70,34,7.47
224,Sibay,RU,2022-03-01 02:16:47,52.7181,58.6658,12.65,88,21,4.63
225,San Ramon,US,2022-03-01 02:15:39,37.7799,-121.978,58.89,57,31,3.11
226,Saskylakh,RU,2022-03-01 02:16:47,71.9167,114.0833,-26.48,99,99,4.18
227,Bulungu,CD,2022-03-01 02:15:59,-4.55,18.6,70.41,97,100,3.4
228,Temnikov,RU,2022-03-01 02:17:48,54.6302,43.2148,29.48,96,100,6.22
229,Hay River,CA,2022-03-01 02:17:48,60.8156,-115.7999,-20.11,100,11,0.92
230,Montevideo,UY,2022-03-01 02:17:48,-34.8335,-56.1674,66.42,65,9,16.04
231,Broken Hill,AU,2022-03-01 02:17:49,-31.95,141.4333,80.71,46,0,7.83
232,Salta,AR,2022-03-01 02:14:42,-24.7859,-65.4117,65.98,96,100,0.83
233,Kibala,TD,2022-03-01 02:17:49,9.1104,18.3463,79.0,17,83,5.37
234,Ulladulla,AU,2022-03-01 02:17:50,-35.35,150.4667,68.16,93,100,13.02
235,Jabinyanah,TN,2022-03-01 02:17:50,35.035,10.9081,45.52,80,82,14.97
236,Veraval,IN,2022-03-01 02:17:50,20.9,70.3667,73.27,43,0,9.57
237,Capaci,IT,2022-03-01 02:17:50,38.1711,13.2393,48.25,82,2,4.61
238,Nishihara,JP,2022-03-01 02:17:51,26.1842,127.7558,70.72,73,11,11.65
239,Flinders,AU,2022-03-01 02:17:51,-34.5833,150.8552,73.18,88,100,4.0
240,Belmonte,BR,2022-03-01 02:17:51,-15.8631,-38.8828,76.82,79,71,6.06
241,Nianzishan,CN,2022-03-01 02:17:52,47.5167,122.8833,22.5,66,100,9.33
242,Falun,SE,2022-03-01 02:13:17,60.6036,15.626,32.41,90,84,11.52
243,Kafue,ZM,2022-03-01 02:17:52,-15.7691,28.1814,61.34,95,99,3.22
244,Dezful,IR,2022-03-01 02:17:53,32.3811,48.4058,58.53,46,0,3.83
245,Broome,US,2022-03-01 02:17:53,42.2506,-75.833,24.22,56,20,6.91
246,Tongren,CN,2022-03-01 02:17:53,27.7172,109.1853,47.86,85,100,8.79
247,Whitecourt,CA,2022-03-01 02:17:54,54.1502,-115.6855,25.11,97,100,3.31
248,Nizhniy Tsasuchey,RU,2022-03-01 02:17:54,50.5167,115.1333,22.42,70,100,11.86
249,Nakhodka,RU,2022-03-01 02:13:58,42.8333,132.8947,34.29,67,73,5.97
250,Khowst,AF,2022-03-01 02:17:55,33.3833,69.8833,46.29,68,1,2.08
251,Changli,CN,2022-03-01 02:17:55,39.7042,119.1506,39.47,27,0,7.92
252,Suez,EG,2022-03-01 02:17:56,29.9737,32.5263,56.61,58,3,9.01
253,Kavieng,PG,2022-03-01 02:17:56,-2.5744,150.7967,84.52,70,100,5.48
254,Vidim,RU,2022-03-01 02:17:56,56.4088,103.1106,15.62,90,100,10.96
255,Teguise,ES,2022-03-01 02:17:57,29.0605,-13.564,59.22,83,29,26.42
256,Soyo,AO,2022-03-01 02:17:57,-6.1349,12.3689,80.46,88,100,6.15
257,Yellowknife,CA,2022-03-01 02:17:57,62.456,-114.3525,-14.37,98,90,5.79
258,Nelson Bay,AU,2022-03-01 02:17:58,-32.7167,152.15,73.96,96,94,16.04
259,Esperance,AU,2022-03-01 02:17:58,-33.8667,121.9,80.96,48,2,13.42
260,Hovd,MN,2022-03-01 02:17:59,48.0056,91.6419,2.5,65,82,3.13
261,Ankang,CN,2022-03-01 02:13:48,32.68,109.0172,53.96,20,100,3.78
262,Selikhino,RU,2022-03-01 02:17:59,50.3672,137.4996,10.38,83,99,8.39
263,Bensonville,LR,2022-03-01 02:18:00,6.4461,-10.6125,75.33,93,92,2.46
264,Half Moon Bay,US,2022-03-01 02:18:00,37.4636,-122.4286,55.13,74,4,10.16
265,Nizhniy Kuranakh,RU,2022-03-01 02:18:00,58.8353,125.4869,4.96,90,100,3.18
266,Asau,RO,2022-03-01 02:18:01,46.4333,26.4,33.28,79,100,9.95
267,Honiara,SB,2022-03-01 02:18:01,-9.4333,159.95,80.51,76,100,1.63
268,Kedrovyy,RU,2022-03-01 02:18:01,56.1667,91.8167,19.81,95,100,6.78
269,Polyarnyy,RU,2022-03-01 02:18:02,69.1989,33.4478,26.13,88,100,10.42
270,Iracoubo,GF,2022-03-01 02:18:02,5.4802,-53.2011,76.32,90,100,8.9
271,Faanui,PF,2022-03-01 02:18:02,-16.4833,-151.75,82.13,74,24,16.2
272,Lakes Entrance,AU,2022-03-01 02:18:03,-37.8811,147.981,76.21,65,92,21.03
273,Kitimat,CA,2022-03-01 02:18:03,54.0524,-128.6534,38.68,100,100,2.55
274,Progreso,MX,2022-03-01 02:15:57,21.2833,-89.6667,73.47,74,2,9.33
275,Atambua,ID,2022-03-01 02:19:04,-9.1061,124.8925,80.98,70,71,6.06
276,Sisimiut,GL,2022-03-01 02:19:04,66.9395,-53.6735,-2.99,91,100,3.42
277,Ribeira Grande,PT,2022-03-01 02:19:04,38.5167,-28.7,61.74,91,98,15.26
278,Alice Springs,AU,2022-03-01 02:19:05,-23.7,133.8833,96.22,43,13,8.05
279,Katangli,RU,2022-03-01 02:19:05,51.7102,143.2326,10.06,62,52,10.74
280,Palora,EC,2022-03-01 02:19:05,-1.7,-77.9333,65.25,97,70,1.92
281,Kralendijk,BQ,2022-03-01 02:19:06,12.15,-68.2667,78.78,83,20,12.66
282,Ambilobe,MG,2022-03-01 02:14:44,-13.2,49.05,72.37,96,100,1.07
283,Bud,US,2022-03-01 02:19:06,39.447,-86.1758,44.67,64,60,8.66
284,Ayagoz,KZ,2022-03-01 02:19:06,47.9714,80.4392,-4.54,86,12,4.92
285,Zhuanghe,CN,2022-03-01 02:19:07,39.7008,122.9911,36.91,30,0,11.48
286,Safaga,EG,2022-03-01 02:19:07,26.7292,33.9365,66.29,30,0,14.2
287,Mantua,IT,2022-03-01 02:19:08,45.1667,10.7833,36.88,61,93,5.88
288,Tenenkou,ML,2022-03-01 02:19:08,14.4572,-4.9169,81.21,41,27,4.72
289,Waynesboro,US,2022-03-01 02:19:08,38.0685,-78.8895,36.28,75,14,3.29
290,Vilhena,BR,2022-03-01 02:19:09,-12.7406,-60.1458,69.49,96,80,2.62
291,Norden,DE,2022-03-01 02:19:09,53.6,7.2,35.87,75,16,12.06
292,Djambala,CG,2022-03-01 02:19:09,-2.5447,14.7533,68.58,91,100,2.71
293,Pittsburg,US,2022-03-01 02:18:01,38.028,-121.8847,68.07,47,27,3.0
294,Chuy,UY,2022-03-01 02:19:10,-33.6971,-53.4616,65.82,69,56,11.68
295,Le Locle,CH,2022-03-01 02:19:10,47.0595,6.7523,27.01,71,0,4.25
