City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,San Patricio,US,81.28,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
115,Port Shepstone,ZA,73.94,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
118,Eseka,CM,72.14,broken clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
121,Kiunga,PG,74.77,light rain,-6.1219,141.2906,Airport Lodge Kiunga
122,Marsh Harbour,BS,73.87,clear sky,26.5412,-77.0636,Abaco Beach Resort
127,Tres Lagoas,BR,77.94,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
129,Chuy,UY,72.3,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
134,Trairi,BR,79.81,overcast clouds,-3.2778,-39.2689,janelas do mar
137,Diffa,NE,81.41,broken clouds,13.3154,12.6113,ProDAF/Diffa
140,Chicama,PE,72.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
144,Davidson,US,78.91,clear sky,36.1501,-86.7833,Best Western Plus Music Row
147,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
148,Bandarbeyla,SO,75.51,scattered clouds,9.4942,50.8122,JABIR HOTEL
151,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
152,Port-Gentil,GA,75.16,mist,-0.7193,8.7815,Fengshui Residence
154,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
156,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
162,Kuching,MY,75.42,light rain,1.55,110.3333,Hilton Kuching
167,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
173,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
174,Vao,NC,78.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
177,Cockburn Town,TC,78.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
178,Beira,MZ,76.03,clear sky,-19.8436,34.8389,Beira Terrace Hotel
179,Faanui,PF,81.77,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Ilhabela,BR,77.52,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
188,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
189,Itarema,BR,80.49,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
190,Rincon,US,73.85,overcast clouds,32.296,-81.2354,Days Inn Rincon
194,Akyab,MM,71.92,scattered clouds,20.15,92.9,Hotel Memory
196,Kilindoni,TZ,80.64,overcast clouds,-7.9139,39.6668,Bustani B&B
199,Mabaruma,GY,73.6,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
201,Kalianget,ID,80.73,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
202,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
205,Labuhan,ID,77.43,overcast clouds,-6.8844,112.2051,DoubleFAG
207,Singaraja,ID,76.96,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
211,Cidreira,BR,77.23,clear sky,-30.1811,-50.2056,Hotel Castelo
215,Maxixe,MZ,73.65,clear sky,-23.8597,35.3472,Oceano
217,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
224,Sidney,AU,74.61,light rain,-33.8679,151.2073,The Grace Sydney
232,Port Blair,IN,79.07,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
233,Ternate,ID,80.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
234,Wamba,NG,80.37,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
235,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
